Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2023-11-13 12:51:58.643 -0500,"Success",0:00:01,0,0,0,"20231113_125158.643/LogFile.txt","","",1
2023-11-13 12:52:54.270 -0500,"Success",0:00:01,0,0,0,"20231113_125254.270/LogFile.txt","","",1
2023-11-13 12:53:28.694 -0500,"Success",0:00:00,0,0,0,"20231113_125328.694/LogFile.txt","","",1
2023-11-13 12:56:23.001 -0500,"Success",0:00:02,0,0,0,"20231113_125623.001/LogFile.txt","","",1
2023-11-13 12:58:50.876 -0500,"Failure",0:00:00,1,0,0,"20231113_125850.876/LogFile.txt","","InvalidCommandOrRange -- Not a valid command, or else incorrect types given for a range (must be numbers, date/times, or single characters -- got ""VISADevice(""USB0:..."" TO ""CONFigure:RADio:B..."")",0
2023-11-13 12:59:31.221 -0500,"Failure",0:00:00,1,0,0,"20231113_125931.221/LogFile.txt","","SenseTalk Compiler Exception -- in verifyartemis:\nSyntax Error at line 9: can't understand [end of line] at character 45",0
2023-11-13 13:03:43.062 -0500,"Failure",0:00:00,1,0,0,"20231113_130343.062/LogFile.txt","","SenseTalk Compiler Exception -- in verifyartemis:\nSyntax Error at line 13: can't understand [end of line] at character 45",0
2023-11-13 13:04:05.336 -0500,"Success",0:00:04,0,0,0,"20231113_130405.336/LogFile.txt","","",1
2023-11-13 13:04:26.598 -0500,"Success",0:00:04,0,0,0,"20231113_130426.598/LogFile.txt","","",1
2023-11-13 13:08:51.679 -0500,"Success",0:00:13,0,0,0,"20231113_130851.679/LogFile.txt","","",1
2023-11-13 13:09:34.681 -0500,"Success",0:00:19,0,0,0,"20231113_130934.681/LogFile.txt","","",1
2023-11-13 13:17:00.659 -0500,"Aborted",0:00:13,1,0,0,"20231113_131700.659/LogFile.txt","","",0
2023-11-13 13:17:41.602 -0500,"Success",0:00:15,0,0,0,"20231113_131741.602/LogFile.txt","","",1
2023-11-13 13:18:03.896 -0500,"Failure",0:00:14,1,0,0,"20231113_131803.896/LogFile.txt","","ûNõóÿõ4æ£B4ÙhPe¥0x",0
2023-11-13 13:18:49.267 -0500,"Success",0:00:10,0,0,0,"20231113_131849.267/LogFile.txt","","",1
2023-11-13 13:26:37.988 -0500,"Success",0:00:16,0,0,0,"20231113_132637.988/LogFile.txt","","",1
2023-11-13 13:27:56.251 -0500,"Success",0:00:11,0,0,0,"20231113_132756.251/LogFile.txt","","",1
2023-11-13 13:32:40.914 -0500,"Success",0:00:11,0,0,0,"20231113_133240.914/LogFile.txt","","",1
2023-11-15 16:28:45.219 -0500,"Failure",0:00:10,1,0,0,"20231115_162845.219/LogFile.txt","","SCPI ERROR -- -350,""Queue overflow""",0
2023-11-15 16:34:09.851 -0500,"Success",0:00:15,0,0,0,"20231115_163409.851/LogFile.txt","","",1
2023-11-15 16:37:35.952 -0500,"Failure",0:00:28,1,3,0,"20231115_163735.952/LogFile.txt","","ûNõóÿõ4æ£B4ÙhPe¥0x",0
